countyID,year,unemployment_rate,per_capita_income,bachelors_rate,median_age,poverty_rate,black,native,asian,pac_isl,two_plus_races,hispanic,white_not_hispanic,total_pop,gdp
05103,2019,7.8,21562,14.5,43,,,,,,,,,,
05105,2019,5.1,23164,12.7,43.7,,,,,,,,,,
05107,2019,10.1,18651,13.8,38.9,,,,,,,,,,
05109,2019,3.5,23362,17.3,43.1,,,,,,,,,,
05111,2019,5.9,20963,11.1,40.1,,,,,,,,,,
05113,2019,9.1,23103,14.1,43.9,,,,,,,,,,
05115,2019,5.6,23391,22.8,35.3,,,,,,,,,,
05117,2019,5.1,25789,15.4,47.2,,,,,,,,,,
05119,2019,4.4,32692,34.3,37.2,,,,,,,,,,
05121,2019,3.2,23248,13.8,41.1,,,,,,,,,,
05123,2019,5.6,18447,10.4,38.8,,,,,,,,,,
05125,2019,3.3,30553,26.7,39.6,,,,,,,,,,
05127,2019,7.9,18281,9.3,40.7,,,,,,,,,,
05129,2019,3.4,20410,11.9,47.9,,,,,,,,,,
05131,2019,3.8,25961,21.3,37.6,,,,,,,,,,
05133,2019,5.5,22320,12.8,35.3,,,,,,,,,,
05135,2019,4.1,21423,10.2,47.6,,,,,,,,,,
05137,2019,6.2,20695,13.9,50.1,,,,,,,,,,
05139,2019,4.7,25193,21.1,40.3,,,,,,,,,,
05141,2019,5.5,22168,14.5,48,,,,,,,,,,
05143,2019,4.1,27790,33.3,32,,,,,,,,,,
05145,2019,5.2,23702,20.9,36.9,,,,,,,,,,
05147,2019,8.4,23423,14,45.5,,,,,,,,,,
05149,2019,3.5,22015,12.8,40.3,,,,,,,,,,
06001,2019,4.4,47314,47.4,37.6,,,,,,,,,,
06003,2019,15.6,36739,34.5,52.2,,,,,,,,,,
06005,2019,6.6,31987,19.3,50.5,,,,,,,,,,
06007,2019,7.7,29506,27.2,37.1,,,,,,,,,,
06009,2019,6.6,33456,18.3,52,,,,,,,,,,
06011,2019,4.4,26932,15,35.3,,,,,,,,,,
06013,2019,5,48178,42.4,39.7,,,,,,,,,,
06015,2019,7.8,23674,14.8,39.5,,,,,,,,,,
06017,2019,5.4,42749,34.3,45.9,,,,,,,,,,
06019,2019,8.2,24422,21.2,32.2,,,,,,,,,,
06021,2019,4.8,22668,14.2,36.4,,,,,,,,,,
06023,2019,6.8,28769,30.4,38.4,,,,,,,,,,
06025,2019,13.7,18018,15.2,32.4,,,,,,,,,,
06027,2019,3.7,32590,27.2,45.8,,,,,,,,,,
06029,2019,9.4,23326,16.4,31.6,,,,,,,,,,
06031,2019,7.3,22373,14.7,31.8,,,,,,,,,,
06033,2019,8.4,27362,15.5,45.6,,,,,,,,,,
06035,2019,6.6,22134,12.9,36.6,,,,,,,,,,
06037,2019,5.7,34156,32.5,36.5,,,,,,,,,,
06039,2019,8.1,22853,14.6,34.1,,,,,,,,,,
06041,2019,3.6,72466,59.5,46.8,,,,,,,,,,
06043,2019,8.5,28757,24.6,51.7,,,,,,,,,,
06045,2019,8.5,29035,24.4,43.1,,,,,,,,,,
06047,2019,10.4,23011,13.8,31.1,,,,,,,,,,
06049,2019,8.1,22843,15.2,47.8,,,,,,,,,,
06051,2019,3.6,34552,28.8,37.7,,,,,,,,,,
06053,2019,4.6,30073,24.7,34.4,,,,,,,,,,
06055,2019,4.3,45195,35.7,41.3,,,,,,,,,,
06057,2019,3.8,39233,37.2,50.5,,,,,,,,,,
06059,2019,4.3,41514,40.6,38.1,,,,,,,,,,
06061,2019,3.8,43759,39.7,42,,,,,,,,,,
06063,2019,6,35198,23.7,52.3,,,,,,,,,,
06065,2019,6.9,28596,22.3,35.6,,,,,,,,,,
06067,2019,6.1,32751,30.9,36.2,,,,,,,,,,
06069,2019,6.3,33174,19.7,35.7,,,,,,,,,,
06071,2019,7,25215,21,33.3,,,,,,,,,,
06073,2019,5.6,38073,38.8,35.8,,,,,,,,,,
06075,2019,4,68883,58.1,38.2,,,,,,,,,,
06077,2019,7.1,27521,18.8,34.3,,,,,,,,,,
06079,2019,3.6,37233,35.4,39.2,,,,,,,,,,
06081,2019,3.6,61545,51,39.7,,,,,,,,,,
06083,2019,5.2,36039,34.2,33.8,,,,,,,,,,
06085,2019,4.1,56248,52.4,37.1,,,,,,,,,,
06087,2019,5.2,41312,40.8,37.8,,,,,,,,,,
06089,2019,5.1,29720,22.2,41.5,,,,,,,,,,
06091,2019,6.2,33747,17.9,54.8,,,,,,,,,,
06093,2019,7.3,28615,23.2,47.8,,,,,,,,,,
06095,2019,5.7,35400,26.9,38.1,,,,,,,,,,
06097,2019,4,42178,35.5,42.1,,,,,,,,,,
06099,2019,8.6,26258,17.1,34.1,,,,,,,,,,
06101,2019,7.8,27371,18.2,35.7,,,,,,,,,,
06103,2019,8.2,24301,15.7,41,,,,,,,,,,
06105,2019,7.9,26523,19.5,52.5,,,,,,,,,,
06107,2019,9.2,21380,14.6,31,,,,,,,,,,
06109,2019,5.4,34702,20.5,48.4,,,,,,,,,,
06111,2019,4.7,38595,33.8,38.1,,,,,,,,,,
06113,2019,5.7,34515,41.4,31,,,,,,,,,,
06115,2019,6.7,25583,17.1,32.8,,,,,,,,,,
08001,2019,3.5,30313,24.3,33.8,,,,,,,,,,
08003,2019,9.3,22131,25,31.8,,,,,,,,,,
08005,2019,3.7,40443,42.8,36.6,,,,,,,,,,
08007,2019,4.3,31629,37.2,50.9,,,,,,,,,,
08009,2019,2.3,24061,21.4,46,,,,,,,,,,
08011,2019,5.3,13930,11.4,40.2,,,,,,,,,,
08013,2019,3.8,46826,62.1,36.6,,,,,,,,,,
08014,2019,3.1,50863,55.7,37.8,,,,,,,,,,
08015,2019,3,29827,33.8,49.2,,,,,,,,,,
08017,2019,8.3,29081,19.2,39.4,,,,,,,,,,
08019,2019,3.4,39203,48.1,48.1,,,,,,,,,,
08021,2019,9.6,20640,21,38.8,,,,,,,,,,
