countyID,landCoverCode,squareMiles
01123,0003,18.16452086
01123,0010,14.3445791
01123,0011,38.96110688
01123,0012,21.90982708
01123,0020,613.88343
01123,0022,2.046176511
01123,0023,66.22960014
01125,0002,30.38283627
01125,0003,33.66503573
01125,0004,6.858309756
01125,0007,2.512769111
01125,0010,34.16413925
01125,0011,118.4125801
01125,0012,56.78491647
01125,0020,1077
01125,0022,4.23760802
01125,0023,25.37160967
01127,0001,8.712542306
01127,0002,9.407699564
01127,0003,16.99623559
01127,0010,48.324452
01127,0011,36.13219702
01127,0012,49.57449769
01127,0015,8.995460695
01127,0020,605.052633
01127,0022,2.139267775
01127,0023,42.1212428
01129,0001,6.126284756
01129,0002,36.84776247
01129,0003,27.57074094
01129,0004,4.587179289
01129,0011,9.269812378
01129,0012,42.91841491
01129,0017,2.293589644
01129,0020,978.3396267
01129,0022,6.294428414
01129,0023,11.97688182
01131,0002,14.50573016
01131,0003,15.50704953
01131,0011,24.2998918
01131,0012,21.9325483
01131,0020,791.5314383
01131,0022,2.679054813
01131,0023,25.89879961
01133,0002,8.995460695
01133,0003,63.75537653
01133,0007,7.416671606
01133,0010,1.509391979
01133,0011,14.57467498
01133,0012,14.34349271
01133,0020,488.7568391
01133,0022,1.806996234
01133,0023,28.41972995
02020,0009,443.9762159
02020,0010,3.410978209
02020,0011,78.235266
02020,0012,8.389918397
02020,0016,291.838111
02020,0017,23.07550933
02020,0020,232.1116938
02020,0023,276.4240001
02100,0009,596.4553388
02100,0012,1.684778953
02100,0015,105.4671755
02100,0016,877.1006284
02100,0017,16.68422231
02100,0020,601.3817962
02100,0022,3.338235634
02100,0023,377.2606949
02110,0003,2.657766247
02110,0009,442.821229
02110,0015,121.4560452
02110,0016,1275
02110,0017,21.5965665
02110,0020,822.2375459
02110,0022,7.404353663
02110,0023,558.0089238
02122,0003,11.30627584
02122,0009,2330
02122,0010,25.59689208
02122,0011,29.244929
02122,0012,41.25292878
02122,0015,322.8785136
02122,0016,1775
02122,0017,28.92919483
02122,0020,3331
02122,0022,23.36398627
02122,0023,2644
02130,0009,30.58398558
02130,0012,6.248188023
02130,0016,12.78202885
02130,0020,810.3997694
02130,0023,507.1266689
02150,0009,3737
02150,0012,6.024587259
02150,0015,22.31065884
02150,0016,251.7718976
02150,0020,837.4667571
02150,0022,40.13396777
02150,0023,3552
02275,0009,170.4467725
02275,0012,31.22271719
02275,0015,10.43590961
02275,0016,98.96812719
02275,0017,9.160886645
02275,0020,3877
02275,0022,25.22052295
02275,0023,4159
02220,0009,305.8121381
02220,0015,28.85092078
02220,0016,185.2285219
02220,0017,7.605984383
02220,0020,1440
02220,0022,9.176239098
02220,0023,1859
02105,0009,350.1903532
02105,0012,0.450764018
02105,0015,88.84870448
02105,0016,278.9247826
02105,0017,9.160886645
02105,0020,1322
02105,0022,4.399744167
02105,0023,2493
02261,0009,2950
02261,0010,19.50585998
02261,0015,830.0374497
02261,0016,5303
02261,0017,342.7410752
02261,0018,18.3217733
02261,0020,1734
02261,0022,56.67681752
02261,0023,5167
02105,0009,308.5574861
02105,0011,13.0459317
02105,0012,4.963205828
02105,0015,72.13782625
02105,0016,868.5103922
02105,0017,11.33571517
02105,0020,3388
02105,0022,32.48465219
02105,0023,2884
02282,0009,320.316689
02282,0010,4.876464997
