objectid,state_cnty_fips,state_name,cnty_name, foresland_acres , forest land sq miles ,size,% forest land,,,,,
66,04019,Arizona,Pima,"787,061","1,181",9189,13%,,,,,
67,04021,Arizona,Pinal,"199,697",300,5374,6%,,,,,
68,04023,Arizona,Santa Cruz,"377,712",567,1238,46%,,,,,
69,04025,Arizona,Yavapai,"1,708,829","2,563",8128,32%,,,,,
70,04027,Arizona,Yuma,"16,055",24,5519,0%,,,,,
71,05001,Arkansas,Arkansas,"192,291",288,1034,28%,,,,,
72,05003,Arkansas,Ashley,"415,922",624,939,66%,,,,,
73,05005,Arkansas,Baxter,"217,597",326,587,56%,,,,,
74,05007,Arkansas,Benton,"231,272",347,877,40%,,,,,
75,05009,Arkansas,Boone,"169,462",254,602,42%,,,,,
76,05011,Arkansas,Bradley,"371,765",558,654,85%,,,,,
77,05013,Arkansas,Calhoun,"354,888",532,633,84%,,,,,
78,05015,Arkansas,Carroll,"205,490",308,642,48%,,,,,
79,05017,Arkansas,Chicot,"126,797",190,691,28%,,,,,
80,05019,Arkansas,Clark,"468,728",703,883,80%,,,,,
81,05021,Arkansas,Clay,"72,039",108,641,17%,,,,,
82,05023,Arkansas,Cleburne,"271,545",407,592,69%,,,,,
83,05025,Arkansas,Cleveland,"330,657",496,599,83%,,,,,
84,05027,Arkansas,Columbia,"439,643",659,767,86%,,,,,
85,05029,Arkansas,Conway,"185,710",279,567,49%,,,,,
86,05031,Arkansas,Craighead,"55,348",83,713,12%,,,,,
87,05033,Arkansas,Crawford,"229,054",344,604,57%,,,,,
88,05035,Arkansas,Crittenden,"45,560",68,637,11%,,,,,
89,05037,Arkansas,Cross,"47,554",71,622,11%,,,,,
90,05039,Arkansas,Dallas,"410,925",616,668,92%,,,,,
91,05041,Arkansas,Desha,"156,225",234,820,29%,,,,,
92,05043,Arkansas,Drew,"413,580",620,836,74%,,,,,
93,05045,Arkansas,Faulkner,"213,278",320,664,48%,,,,,
94,05047,Arkansas,Franklin,"212,630",319,620,51%,,,,,
95,05049,Arkansas,Fulton,"251,191",377,620,61%,,,,,
96,05051,Arkansas,Garland,"391,564",587,735,80%,,,,,
97,05053,Arkansas,Grant,"392,256",588,633,93%,,,,,
98,05055,Arkansas,Greene,"100,457",151,580,26%,,,,,
99,05057,Arkansas,Hempstead,"300,218",450,741,61%,,,,,
100,05059,Arkansas,Hot Spring,"253,859",381,622,61%,,,,,
101,05061,Arkansas,Howard,"281,713",423,595,71%,,,,,
102,05063,Arkansas,Independence,"216,415",325,772,42%,,,,,
103,05065,Arkansas,Izard,"242,733",364,584,62%,,,,,
104,05067,Arkansas,Jackson,"70,720",106,642,17%,,,,,
105,05069,Arkansas,Jefferson,"212,734",319,914,35%,,,,,
106,05071,Arkansas,Johnson,"308,738",463,683,68%,,,,,
107,02020,Alaska,Anchorage Borough,-1,0,1962,0%,,,,,
108,02100,Alaska,Haines Borough,-1,0,2754,0%,,,,,
109,02110,Alaska,Juneau Borough,-1,0,3081,0%,,,,,
110,02122,Alaska,Kenai Peninsula Borough,-1,0,21664,0%,,,,,
111,02130,Alaska,Ketchikan Gateway Borough,-1,0,1744,0%,,,,,
112,02150,Alaska,Kodiak Island Borough,-1,0,11846,0%,,,,,
113,02201,Alaska,Prince of Wales-Outer Ketchikan Census Area,-1,0,not,,,,,,
114,02220,Alaska,Sitka Borough,-1,0,4850,0%,,,,,
115,02232,Alaska,Skagway-Hoonah-Angoon Census Area,-1,0,not,,,,,,
116,02261,Alaska,"Valdez-Cordova Census Area 	",-1,0,43516,0%,,,,,
117,02280,Alaska,Wrangell-Petersburg Census Area,-1,0,not,,,,,,
118,02282,Alaska,Yakutat Borough,-1,0,0,,,,,,
24,01105,Alabama,Perry,"350,663",526,724,73%,,,,,
25,01107,Alabama,Pickens,"480,337",721,890,81%,,,,,
26,01109,Alabama,Pike,"311,615",467,672,70%,,,,,
44,01111,Alabama,Randolph,"282,857",424,584,73%,,,,,
45,01113,Alabama,Russell,"307,896",462,647,71%,,,,,
47,01117,Alabama,Shelby,"342,138",513,810,63%,,,,,
46,01115,Alabama,St. Clair,"307,328",461,654,70%,,,,,
48,01119,Alabama,Sumter,"447,783",672,913,74%,,,,,
49,01121,Alabama,Talladega,"302,201",453,760,60%,,,,,
50,01123,Alabama,Tallapoosa,"393,555",590,766,77%,,,,,
51,01125,Alabama,Tuscaloosa,"696,231","1,044",1352,77%,,,,,
52,01127,Alabama,Walker,"393,053",590,805,73%,,,,,
53,01129,Alabama,Washington,"621,693",933,1089,86%,,,,,
54,01131,Alabama,Wilcox,"503,930",756,908,83%,,,,,
55,01133,Alabama,Winston,"319,471",479,632,76%,,,,,
134,05129,Arkansas,Searcy,"284,915",427,669,64%,,,,,
135,05131,Arkansas,Sebastian,"157,000",236,546,43%,,,,,
136,05133,Arkansas,Sevier,"244,424",367,581,63%,,,,,
137,05135,Arkansas,Sharp,"256,987",385,606,64%,,,,,
138,05137,Arkansas,Stone,"337,563",506,609,83%,,,,,
139,05139,Arkansas,Union,"631,182",947,1055,90%,,,,,
140,05141,Arkansas,Van Buren,"350,277",525,724,73%,,,,,
